Rs,u2,Tmax,Tmin,RH,pr,ETo
23.7,0.6,32.5,24.3,74.3,2.5,4.9
23.0,1.1,33.1,24.2,75.5,9.8,4.9
23.0,2.7,32.7,24.5,76.8,0.0,5.3
21.9,0.4,33.2,25.0,77.2,0.0,4.6
19.0,2.0,32.2,24.8,77.8,0.0,4.5
22.5,1.6,32.5,25.2,76.5,0.2,5.0
22.0,0.9,32.7,24.6,76.9,0.0,4.7
23.2,1.4,32.5,23.7,76.0,0.0,5.0
22.7,1.6,32.7,24.6,75.4,0.0,5.0
22.3,2.0,32.1,24.0,76.2,0.0,5.0
23.5,2.0,32.7,23.7,75.6,0.0,5.2
23.7,1.6,32.8,23.7,74.8,0.0,5.2
21.7,1.3,32.8,24.4,77.3,0.3,4.8
23.3,1.8,32.8,25.1,73.2,0.0,5.3
24.0,0.9,33.1,24.0,76.1,0.0,5.0
23.9,2.0,32.8,25.0,76.4,0.6,5.3
23.2,1.6,33.1,24.5,77.6,0.3,5.1
23.6,2.0,32.8,24.0,78.3,0.0,5.2
21.4,1.6,33.1,24.2,76.8,0.0,4.8
23.2,2.2,33.1,25.0,77.2,0.0,5.3
23.1,1.8,33.7,24.5,77.2,1.8,5.2
20.9,1.1,33.2,24.7,77.9,0.0,4.6
20.7,1.8,33.2,25.0,74.6,0.0,4.9
22.0,2.3,33.1,24.5,75.6,0.0,5.1
21.8,2.0,33.2,24.6,76.4,0.0,5.0
23.5,2.1,33.2,24.3,72.9,0.0,5.4
23.4,1.8,33.2,24.6,76.1,0.0,5.2
21.5,1.5,33.2,24.8,76.4,0.0,4.8
20.1,1.6,33.2,25.2,75.4,0.0,4.7
23.0,2.3,33.1,24.5,75.6,0.4,5.3
19.4,2.0,32.8,23.7,81.2,1.9,4.4
15.9,1.3,32.1,22.5,82.9,9.8,3.6
12.5,0.8,31.4,23.5,90.2,8.0,2.8
9.4,1.7,28.7,23.4,91.2,2.4,2.2
10.0,0.3,30.2,22.7,88.9,2.2,2.2
12.8,0.0,32.0,23.5,87.6,2.9,2.8
20.5,1.0,31.2,23.6,83.8,4.5,4.2
16.4,1.7,31.9,23.5,81.7,3.7,3.8
18.3,1.5,32.2,23.1,83.9,8.5,4.0
16.7,2.2,31.1,24.1,82.6,4.4,3.8
21.2,0.8,31.5,23.7,79.4,1.9,4.4
20.0,1.1,32.4,24.5,80.5,0.3,4.3
21.9,0.9,32.0,25.0,81.2,4.6,4.6
22.4,1.8,32.4,24.8,80.5,3.0,4.9
19.6,1.3,32.3,24.5,77.6,2.1,4.4
20.0,2.0,32.1,24.5,76.8,0.0,4.6
23.1,2.0,32.4,24.5,78.2,1.6,5.1
19.9,2.0,30.9,24.5,82.2,8.8,4.3
20.8,1.8,33.0,24.2,80.7,2.3,4.6
21.3,2.2,33.0,25.2,82.0,3.0,4.8
18.6,2.2,32.8,23.2,82.2,9.0,4.3
18.5,1.0,31.8,23.2,86.2,6.2,3.9
12.5,0.6,28.1,22.8,89.1,19.8,2.6
17.6,0.8,30.3,22.9,87.6,23.9,3.6
9.5,0.8,28.3,23.3,90.1,9.0,2.1
12.5,1.0,31.8,23.6,88.8,13.7,2.8
18.9,1.1,31.0,23.2,88.2,4.0,3.9
15.7,1.5,30.2,23.6,90.9,10.5,3.3
11.7,1.1,29.9,23.5,91.8,29.5,2.5
13.9,0.8,30.2,23.3,92.7,16.7,2.9
14.0,1.0,29.5,23.8,88.4,16.3,3.0
9.2,1.2,24.7,22.8,93.2,10.2,1.9
15.3,0.2,28.7,22.8,88.2,15.6,3.1
17.6,0.4,30.6,22.9,88.5,6.9,3.6
11.5,1.0,28.1,23.7,91.3,11.5,2.5
17.7,1.0,30.2,22.6,85.8,1.3,3.6
13.8,0.6,28.3,23.6,87.9,2.5,2.9
18.2,1.0,30.9,23.2,87.8,5.8,3.8
19.3,1.5,30.7,23.2,82.5,13.6,4.1
14.8,0.3,30.0,23.6,87.8,8.0,3.1
11.7,0.1,26.1,21.9,89.5,11.2,2.4
18.0,1.0,29.7,21.9,88.1,10.2,3.6
13.3,1.0,28.3,23.6,88.9,9.8,2.8
16.6,0.7,30.7,23.5,89.9,32.8,3.5
12.4,0.3,29.3,23.6,90.2,10.0,2.7
21.1,1.0,30.5,22.1,88.1,3.2,4.2
20.8,1.1,30.5,23.7,86.5,12.1,4.2
11.9,0.2,27.3,23.8,91.9,10.8,2.5
16.5,1.3,29.5,23.2,89.9,7.4,3.4
13.5,0.8,28.9,22.2,92.1,7.9,2.8
10.7,0.1,26.9,22.0,88.1,1.6,2.3
12.4,0.3,26.9,22.2,93.6,14.6,2.5
15.8,1.2,29.7,22.1,90.8,18.0,3.2
16.4,0.1,29.1,22.2,90.2,22.3,3.3
17.8,0.6,30.2,23.0,89.2,7.4,3.6
14.2,0.1,27.9,23.1,88.5,14.7,2.9
23.0,1.3,30.9,23.6,84.8,3.7,4.7
20.3,1.5,30.9,23.8,85.9,4.5,4.2
17.9,1.5,31.1,23.8,86.9,5.2,3.8
19.6,1.5,30.9,23.6,84.2,7.4,4.1
