Date,open,high,low,close,AVG
2017-01-13,1.2157,1.2226,1.212,1.2157,1.2165
2017-01-15,1.2045,1.2047,1.1995,1.2046,1.203325
2017-01-16,1.2044,1.2083,1.1992,1.2044,1.204075
2017-01-17,1.2019,1.2413,1.2019,1.2019,1.21175
2017-01-18,1.2402,1.2407,1.2253,1.2402,1.2366
2017-01-19,1.2262,1.234,1.2252,1.2262,1.2279
2017-01-20,1.2332,1.2375,1.2261,1.2332,1.2325
2017-01-22,1.2379,1.2385,1.2375,1.2378,1.237925
2017-01-23,1.2384,1.2542,1.238,1.2384,1.2422499999999999
2017-01-24,1.2534,1.2541,1.242,1.2534,1.250725
2017-01-25,1.2526,1.2636,1.2491,1.2526,1.254475
2017-01-26,1.2631,1.2671,1.2558,1.2631,1.2622749999999998
2017-01-27,1.2591,1.2604,1.2519,1.2591,1.257625
2017-01-29,1.2563,1.2581,1.2561,1.2561,1.25665
2017-01-30,1.2564,1.2598,1.2464,1.2564,1.25475
2017-01-31,1.2491,1.2594,1.2413,1.2491,1.249725
2017-02-01,1.2578,1.2678,1.2545,1.2578,1.2594750000000001
2017-02-02,1.2656,1.2702,1.2516,1.2656,1.26325
2017-02-03,1.2527,1.2534,1.2459,1.2527,1.251175
2017-02-05,1.2478,1.2487,1.2476,1.2478,1.247975
2017-02-06,1.2477,1.2496,1.2428,1.2477,1.24695
2017-02-07,1.2466,1.2544,1.2347,1.2466,1.2455749999999999
2017-02-08,1.2506,1.2543,1.2477,1.2506,1.2508
2017-02-09,1.2537,1.258,1.249,1.2537,1.2536
2017-02-10,1.2497,1.2519,1.2439,1.2497,1.2488000000000001
2017-02-12,1.2488,1.249,1.2474,1.2486,1.24845
2017-02-13,1.2488,1.2537,1.248,1.2488,1.249825
2017-02-14,1.2524,1.2545,1.2448,1.2524,1.2510249999999998
2017-02-15,1.2472,1.2478,1.2383,1.2472,1.245125
2017-02-16,1.246,1.2518,1.2454,1.246,1.2473
2017-02-17,1.2484,1.2509,1.2388,1.2484,1.2466249999999999
2017-02-19,1.2418,1.2419,1.2406,1.2419,1.24155
2017-02-20,1.2417,1.248,1.2408,1.2417,1.24305
2017-02-21,1.2465,1.2479,1.2401,1.2465,1.24525
2017-02-22,1.2475,1.2506,1.2423,1.2475,1.246975
2017-02-23,1.2456,1.2556,1.2427,1.2456,1.2473750000000001
2017-02-24,1.2551,1.2567,1.2451,1.2551,1.2530000000000001
2017-02-26,1.2453,1.2471,1.245,1.2454,1.2457000000000003
2017-02-27,1.2452,1.2475,1.2387,1.2452,1.24415
2017-02-28,1.2438,1.2468,1.2372,1.2438,1.2429000000000001
2017-03-01,1.2375,1.2402,1.2278,1.2375,1.2357500000000001
2017-03-02,1.2298,1.2301,1.2242,1.2298,1.228475
2017-03-03,1.2268,1.228,1.2215,1.2268,1.2257749999999998
2017-03-05,1.2289,1.2289,1.2284,1.2288,1.22875
2017-03-06,1.2288,1.2299,1.2226,1.2288,1.227525
2017-03-07,1.2239,1.2247,1.2169,1.2239,1.22235
2017-03-08,1.2204,1.2211,1.2138,1.2204,1.218925
2017-03-09,1.2166,1.2193,1.2139,1.2166,1.2166
2017-03-10,1.2152,1.2185,1.2139,1.2152,1.2157
2017-03-12,1.2162,1.2169,1.2161,1.2162,1.21635
2017-03-13,1.2162,1.2249,1.2156,1.2162,1.2182250000000001
2017-03-14,1.2211,1.2213,1.2111,1.2211,1.21865
2017-03-15,1.2151,1.2306,1.215,1.2151,1.21895
2017-03-16,1.2289,1.2369,1.2242,1.2289,1.229725
2017-03-17,1.2354,1.2403,1.2323,1.2354,1.2358500000000001
2017-03-19,1.2386,1.239,1.2384,1.2386,1.2386499999999998
2017-03-20,1.2385,1.2433,1.2336,1.2385,1.238475
2017-03-21,1.2357,1.2492,1.2341,1.2357,1.238675
2017-03-22,1.2475,1.25,1.2428,1.2475,1.24695
2017-03-23,1.2473,1.2527,1.2465,1.2473,1.24845
2017-03-24,1.2516,1.2517,1.2468,1.2516,1.250425
2017-03-26,1.2493,1.2518,1.249,1.2493,1.24985
2017-03-27,1.2512,1.2613,1.2507,1.2512,1.2536
2017-03-28,1.2556,1.2594,1.2419,1.2556,1.253125
2017-03-29,1.2416,1.2473,1.2381,1.2416,1.24215
2017-03-30,1.2438,1.252,1.2401,1.2438,1.244925
2017-03-31,1.2475,1.2547,1.2432,1.2475,1.248225
2017-04-02,1.2537,1.2553,1.2537,1.2537,1.2541
2017-04-03,1.2538,1.2551,1.2464,1.2538,1.252275
2017-04-04,1.2489,1.2493,1.2418,1.2489,1.2472249999999998
2017-04-05,1.2437,1.2496,1.2423,1.2437,1.244825
2017-04-06,1.2485,1.2501,1.2449,1.2485,1.2479999999999998
2017-04-07,1.2466,1.2476,1.2369,1.2467,1.24445
2017-04-09,1.2374,1.2375,1.2365,1.2374,1.2372
2017-04-10,1.2373,1.2427,1.2367,1.2373,1.2385
2017-04-11,1.2422,1.2492,1.2402,1.2422,1.24345
